标题,标题链接,地区,省/城市,地级城市,工作经验,工作经验_float,学历,学历_int,公司名称,公司性质,公司规模,行业领域_第一段,国民经济行业分类,薪资,薪资下区间,薪资上区间,薪资单位,职能中类,职能大类,发布时间,年份,采集时的时间,职位信息,分词
量化投资分析师,https://jobs.51job.com/shanghai-hpq/137811219.html,上海-黄浦区,上海,上海,在校生/应届生,0,本科,5,杭州清哲投资管理有限公司,民营公司,,金融/投资/证券,金融业,1.5-2万/月,15,20,千/月,金融/证券/期货/投资,会计/金融/银行/保险,02-21发布,2022,,岗位职责：1、挖掘和分析股票和期货量价，基本面和另类数据，构建并验证量化交易策略，包括交易想法策略化、数据挖掘、策略历史回测、撰写策略报告等相关工作；2、跟踪和分析量化投资策略的实盘表现，评估及不断优化现有的量化投资模型；3、参与专项量化研究课题。   岗位要求：1、熟练掌握一种及以上编程语言，和统计及数据挖掘工具，如：Python、R、Matlab等，熟悉常见机器学习算法，对深度学习有了解的优先；2、对数据高度敏感，数学功底扎实，能将交易想法转化为适合的数学模型；  3、能熟练编写各类业务需求分析、数据分析文档，文档的样式整洁、描述清晰、完整的覆盖分析要求；4、有工作热情和责任心，敢于承受较强的工作挑战；有较强的理解能力、沟通能力及语言表达能力；5、计算机，统计学，数据科学，金融工程等理工科相关专业大学本科（含）以上学历（有证从，基从，CFA，FRM证书者优先），应届生及毕业2年以内者优,"CFA,转化,能力,定价,高度,统计,计算机,不断,语言表达,并,包括,投资,理解能力, ,构建,跟踪,1,；,模型,基从,数据分析,（,的,适合,学习,6,能,优化,量化,R,Matlab,沟通,需求,：,强,分析,4,研究课题,熟练,者,实盘,以内,知识,完整,报告,数学,较,交易,要求,现有,熟练掌握,表现,清晰,热情,岗位职责,基本,回测,另类,覆盖,统计学,深度,功底,想法,业务,工具,证书,机器,以上,岗位,科学,专业,整洁,熟悉,基本面,参与,工程,期货,了解,将,5,衍生品,化,股票,2,有证,责任心,理工科,有,敢于,挖掘,为,Python,毕业,策略,描述,金融,如,量价,从,文档,开发,编程语言,编写,算法,3,各类,以上学历,。,）,大学本科,应届生,年,撰写,交易系统,一种,数据挖掘,含,及,和,数学模型,FRM,专项,历史,工作,数据,相关,评估,验证,经验,扎"
量化工程实习生,https://jobs.51job.com/kunshan/151472905.html,杭州-上城区,杭州,杭州,在校生/应届生,0,硕士,6,中邮永安（上海）资产管理有限公司,国企,少于50人,金融/投资/证券,金融业,100元/天,2.083,2.083,千/月,期货,金融,10-16发布,2023,,岗位职责 ：1、协助投资经理进行投前投后数据整理和业绩归因分析等；2、协助投资经理完成管理产品的周报、月报等各项工作；3、配合投资经理完成日常的投资研究以及程序化实现；4、学习了解FOF的运作机制与优势，理解各投资策略的特定；5、协助投资部门与其他职能部门工作。任职条件：1、熟悉学握wind，choice、excel等统计分析软件的使用、会用Python复现部分研报；2、计算机、数学、数理统计、金融工程、金融、经济等相关专业；3、具有较强的学习能力，沟通能力、逻辑清晰、思维严密、做事细致认真。,"实现,完成,2,学习,使用,能力, ,整理,；,各项,报,研报,FOF,数理统计,岗位职责,严密,机制,投资,，,4,较强,金融,与,产品,逻辑,投后,统计分析,的,工作,配合,部门,choice,归因,分析,管理,特定,、,会用,wind,优势,经济,具有,软件,1,专业,其他,等,程序化,计算机,复现,周报,各,工程,投前,部分,相关,。,3,：,进行,条件,数据,和,细致,以及,日常,策略,运作,excel,认真,了解,经理,5,Python,熟悉,研究,数学,学握,协助,做事,月,理解,思维,清晰,职能部门,沟通,业绩,任职"
经发管委-网络金融部-市场推广岗G00948,https://jobs.51job.com/shanghai/142058876.html,上海,上海,上海,3-4年经验,3.5,本科,5,中信期货有限公司,国企,1000-5000人,金融/投资/证券,金融业,1.5-3万,15,30,千/月,销售管理,销售/客服,01-16发布,2023,,"岗位职责：1、结合期货业务特点开展线上获客，形式包含但不限于BD渠道引流，SEM、应用市场、信息流推广等；				2、整合集团内外部渠道资源，开展战略渠道、垂直渠道、异业合作、新媒体渠道等线上平台合作；				3、负责线上渠道流量监控、产出分析与优化，经营优质渠道、剔除低效渠道；				4、设计外部渠道线上获客活动，产出物料、推动活动落地，提升获客效率。				岗位要求：1、本科及以上学历，金融学、工商管理、广告学等相关专业；2、良好的组织沟通协调能力、执行能力、团队合作能力；认真负责、积极主动、踏实严谨；学习能力和抗压能力强；3、有3年以上的互联网营销渠道拓展经验，熟悉商务拓展方式；具备一定金融知识，熟悉期货、基金等法律法规；4、熟练使用办公软件，互联网作业软件/平台；熟悉线上及移动端的策划和宣传。","一定,工商管理,软件,开展,特点,3,广告学,落地,岗位,沟通,产出,团队,2,物料,业务,SEM,积极主动,限于,资源,包含,流量,互联网,经验,能力,但,外部,营销,结合,异业,渠道,严谨,知识,组织,具备,作业,熟练,形式,以上,方式,办公,拓展,经营,线上,1,岗位职责,相关,活动,不,抗压,分析,专业,垂直,法律法规,战略,内外部,等线,合作,	,等,推广,宣传,获客,媒体,效率,及,，,剔除,执行,/,整合,要求,策划,监控,信息流,商务,；,本科,BD,、,以上学历,新,。,提升,端的,市场,推动,上,使用,引流,与,年,金融学,良好,低效,熟悉,应用,平台,学习,金融,和,优化,强,协调,有,4,负责,设计,优质,的,认真负责,踏实,基金,集团,移动,期货,："
量化研究员（资产管理业务部）,https://jobs.51job.com/shanghai-pdxq/122163261.html,上海-浦东新区,上海,上海,1年经验,1,硕士,6,建信期货有限责任公司,国企,150-500人,金融/投资/证券,金融业,15-25万/年,12.5,20.83333333,千/月,金融/证券/期货/投资,会计/金融/银行/保险,10-10发布,2022,,岗位职责：1、针对对国内市场股票、期货、期权、可转债、基金等金融产品，研究、回测和开发量化策略，包括量化对冲策略，CTA策略、期权策略等；2、对回测数据及实盘交易结果持续进行跟踪和业绩归因，对交易策略进行优化改进和迭代；3、参与投研数据处理和数据库维护，协助技术人员搭建交易系统；4、在投资经理授权范围内参与产品管理；5、 完成领导交办的其他工作。任职要求：1、硕士及以上学历，金融学、经济学、统计学和数学等相关专业，具有证券、基金、期货从业资格，熟悉证券及衍生品市场；2、熟练使用数量经济模型及统计分析软件，熟悉Matlab/ Python和数据库，能够使用C++进行必要的系统开发者优先；3.  数理、金工或计算机专业，具有扎实的数理统计、组合优化、机器学习等建模基础；4、具备良好的创新意识、逻辑思维能力、数据分析能力、团队合作能力和快速学习能力，勤奋踏实好学，能承受一定的工作强度。,"迭代,能力,经理,/,系统,持续,交办,资格,包括,C++,投资,组合,团队,金融学,跟踪,1,；,逻辑思维,数据分析,管理,针对,计算机专业,的,学习,授权,能,优化,国内,量化,产品,良好,业绩,结果,Matlab,或,：,领导,回,对冲,4,具备,具有,熟练,实盘,数据处理, ,必要,数学,交易,要求,意识,在,基础,使用,岗位职责,统计分析,回测,创新,证券,维护,统计学,.,数理,内,CTA,机器,完成,快速,市场,专业,熟悉,期权,参与,期货,测数据,5,衍生品,数理统计,技术人员,改进,股票,软件,2,经济模型,Python,能够,金融,策略,合作,开发,协助,强度,经济学,搭建,踏实,3,可转债,好学,建模,硕士,以上学历,数量,勤奋,。,研究,数据库,交易系统,开发者,投研,及,和,一定,工作,范围,金工,进行,相关,其他,归因,扎实,等,优先,对,任职,从业,，,基金,"
运营经理助理-网银（网络金融）,https://jobs.51job.com/shanghai-cnq/141556008.html,上海-长宁区,上海,上海,2年经验,2,本科,5,交银企业管理服务（上海）有限公司张江高科技园区分公司,国企,10000人以上,银行,金融业,1-1.5万·16薪,10,15,千/月,运营,计算机/互联网/通信/电子,10-10发布,2022,,职责描述：1.负责各类经营管理、汇报材料的收集、撰写等工作;2.负责各类会议管理、各类综合文书的汇总归档等工作;3.负责部门内其他行政综合管理相关工作，配合开展各类活动组织及后勤保障工作;4.对接各业务条线部门，完成各类数据统计、表单制作、专项排查等工作;5.领导交办的其他工作。任职要求：1、***本科及以上学历，具备经济、金融、市场营销、数学类、司政类、文秘类、人文社科类等相关专业背景者优先；2.具备 2 年及以上工作经验，30 周岁(含)以下价优先，具有银行、互联网金融平台运营工作经历者优先，熟悉银行电子渠道、对公业务者优先;3.熟练运用WORD、EXCEL、PPT等办公软件;4.有较强的沟通协调能力及服务意识，自主学习能力强、承压抗压能力强。,"含,价,统计,任职,运营,软件,WORD,.,文书,开展,行政,*,),经济,3,沟通,2,文秘,各类,以下,业务,领导,互联网,具有,经验,能力,对接,表单,5,其他,渠道,30,管理,司政类,组织,具备,部门,熟练,各,以上,办公,经营,1,汇报,背景,经历,相关,银行,活动,数学,抗压,专业,服务,制作,归档,等,会议,及,工作,，,优先,描述,综合,撰写,后勤保障,要求,市场营销,周岁,数据,排查,类,EXCEL,；,本科,、,以上学历,人文, ,运用,条线,较,。,专项,内,电子,职责,PPT,配合,(,收集,年,材料,自主,交办,对公,熟悉,承压,平台,金融,完成,学习,强,者,协调,有,4,负责,的,社科类,汇总,意识,：,;"
经发管委-网络金融部-业务运营岗G00705,https://jobs.51job.com/shanghai-pdxq/140480664.html,上海-浦东新区,上海,上海,5-7年经验,6,本科,5,中信期货有限公司,国企,1000-5000人,金融/投资/证券,金融业,1.5-3万,15,30,千/月,运营,计算机/互联网/通信/电子,10-10发布,2022,,岗位职责：1、牵头规划中信期货互联网用户运营策略，深入洞察用户需求，挖掘触达及转化场景，制定增长方案并拿到结果；2、通过用户权益设计，结合商品力等组合，实现用户价值、拉动业务目标实现用户增长；3、从新增用户切入、以用户全生命周期行为为目标，有针对性的提高分渠道、分类别的用户详细转化链路，提高新增用户留存质量，并设计用户成长体系；4、围绕业务心智，打造创新高效增长工具。以创新趣味性、驱动增长效率的提升；5、整合内外部资源，对站内外渠道合作进行开源和运营，实现用户增长。岗位要求：1、***本科及以上学历，计算机技术，市场及金融等相关专业；2、良好的组织沟通协调能力、执行能力、团队合作能力；认真负责、积极主动、踏实严谨；学习能力和抗压能力强；3、具有良好用户视角，创造用户价值，有用户增长运营方法论沉淀；具备一定金融知识，熟悉证券、期货、基金市场；熟练使用互联网办公软件；4、至少5年及以上互联网运,"转化,能力,组织,头部,用户,以,资格,触达及,并,方法论,创造,组合,切入,团队,分,资源,1,；,深入,权益,场景,的,学习,公司,良好,价值,本科,计算机技术,沟通,结果,需求,：,抗压,渠道,留存,全,强,运营,4,具备,体系,具有,熟练,者,链路,知识,力,规划,办公,协调,执行,要求,提高,分类,严谨,使用,岗位职责,心智,创新,提升,证券,内外部,业务,工具,以上,市场,岗位,专业,针对性,熟悉,商品,期货,详细,洞察,质量,5,成长,*,软件,积极主动,2,牵头,有,挖掘,为,围绕,策略,金融,合作,制定,从,高效,拉动,实现,方案,内外,踏实,3,别的,目标,以上学历,互联网,增长,。,沉淀,站,年,设计,及,和,一定,行为,通过,开源,进行,相关,打造,中信,经验,效率,结合,等,视角,至少,优先,对,拿到,新增,从业,，,基金,认真负责,整合,、,领域,驱动,生命周期"
平台经营经理（网络金融）,https://jobs.51job.com/shanghai-cnq/142614801.html,上海-长宁区,上海,上海,3-4年经验,3.5,本科,5,交银企业管理服务（上海）有限公司张江高科技园区分公司,国企,10000人以上,银行,金融业,1.6-2.5万,16,25,千/月,市场/营销,设计/市场/媒体/广告,10-10发布,2022,,1、根据公司、部门发展战略，分析经济金融宏观政策、市场环境、银行业数字化发展趋势、同业网络金融业务经营策略等。2、根据需求撰写行业分析报告、专项调研报告、竞品分析报告等，提供业务经营发展专业建议。3、根据部门经营管理目标和具体业务发展思路等，定期研究评估、反馈业务问题点和短板，提出改进方案。岗位要求:1、***本科及以上学历，经济、金融、法学、政治等相关专业优先；2、熟悉金融行业，对银行业数字化发展趋势有看法；3、具备行业分析、业务分析和产品分析的基础方法论，具备系统化思考能力、逻辑分析能力优先；4、具备良好的文字功底，熟练使用Word、PPT、Excel等办公软件；5、具备良好的团队合作精神，较强的责任心和承压能力。,"政治,基础,软件,问题,竞品,*,经济,方法论,3,岗位,团队,思路,2,目标,责任心,业务,改进,公司,能力,行业,精神,提出,对,5,需求,发展趋势,同业,法学,具体,发展,管理,金融业务,具备,部门,熟练,网络,办公,经营,建议,1,相关,产品,分析,看法,专业,功底,根据,战略,报告,合作,调研,等,及,Excel,，,短板,点,优先,撰写,要求,逻辑,方案,较强,；,本科,、,以上学历,提供,系统化,反馈,。,专项,文字,市场,PPT,使用,数字化,宏观政策,研究,良好,思考,经营策略,熟悉,承压,金融,和,:,有,4,银行业,的,评估,定期,环境,Word"
网络金融业务总监,https://jobs.51job.com/nanjing/145570760.html,南京-秦淮区,南京,南京,1年经验,1,本科,5,苏豪控股集团——弘业期货股份有限公司,国企,5000-10000人,多元化业务集团公司,综合,8.5千-1万,8.5,10,千/月,金融/证券/期货/投资,会计/金融/银行/保险,02-06发布,2023,,一、薪资待遇1、底薪（8500）+交通费+餐费+房补+提成+绩效奖；2、法定节假日+五险二金（公积金+企业年金）+节日补贴+电话补贴+学位补贴+带薪年假等；二、工作职责：1、负责公司与互联网平台、金融科技公司、金融同业机构的线上流量生态合作，扩大公司零售客户体量；2、负责渠道合作的标准化流程落实，用以规范线上渠道的准入、测试、评估、调优及退出流程；3、探索线上获客新模式，如融媒体、私域流量经营等；三、任职资格：1、***本科及以上学历，金融学、市场营销、广告学等相关专业，35周岁以下；2、良好的组织沟通协调能力、执行能力、团队合作能力；认真负责、积极主动、踏实严谨；学习能力和抗压能力强；3、有营销创意能力，目标导向意识，具备一定金融知识，熟悉期货、基金等法律法规；熟练使用办公软件，互联网作业软件/平台；熟悉线上及移动端的策划和宣传。4、有自媒体工作经验。,"意识,假,薪资,如融,周岁,评估,媒体,踏实,负责,规范,组织,熟练,零售,法定,模式,/,奖,科技,金融,任职,电话,带薪,积极主动,渠道,及,导向,五险,调优及,绩效,+,互联网,扩大,端的,探索,节日,待遇,执行,使用,上,资格,金融学,专业,经营,移动,节假日,严谨,准入,三,公司,3,以下,标准化,抗压,房补,二金,团队,一定,平台,目标,学习,底薪,、,一,用以,餐费,期货,年,策划,线上,职责,广告学,（,强,机构,公积金,认真负责,体量,法律法规,基金,创意,以上学历,生态,金,1,软件,；,合作,测试,作业,35,企业,*,市场营销,4,交通费,流程,落实,相关,客户,新,能力,知识,熟悉,二,沟通,具备,私域,。,良好,：,工作,宣传,等,和,与,协调,8500,办公,流量,同业,自,线,有,提成,营销,）,，,获客,学位,补贴,2,本科,的,经验,退出"
互联网金融风控专员,https://jobs.51job.com/shanghai/142162284.html,上海-青浦区,上海,上海,无需经验,0,大专,4,上海证券通投资资讯科技有限公司,民营,50-150人,金融/投资/证券,金融业,5.5-8千,5.5,8,千/月,金融,金融,05-28发布,2023,,"岗位职责：1、负责公司交易风险的动态监控、测算、评估；2、按照公司风险管理制度，执行预警提示、强平，完成强平记录，风控日志，风险预算，撰写风控报告，确保风控预警强平工作按规定及时完成；3、进行报表统计备份，熟悉EXCEL表格制作及office办公软件；4、其他风控工作事宜及领导交办的其他事宜。任职要求：1、高中及以上学历，金融、经济、法律等相关专业毕业者优先；2、有证券从业资格证,优先录取；3、18到28周岁，会电脑操作，工作仔细认真，服从领导安排","确保,周岁,评估,负责,交易,管理制度,领导,经济,岗位职责,动态,表格,证券,电脑操作,任职,金融,从业,及,监控,备份,优先,按照,录取,执行,记录,交办,专业,公司,3,完成,安排,者,日志,法律,、,提示,测算,按规定,服从,制作,会,以上学历,office,资格证,1,软件,报表,撰写,风险,；,仔细认真,4,相关,,,风控,熟悉,其他,毕业,。,：,事宜,工作,等,办公,及时,报告,预算,进行,有,高中,到,28,EXCEL,预警,，,统计,18,强平,要求,2,的"
量化投资事业部负责人,https://jobs.51job.com/shanghai/146913372.html,上海-浦东新区,上海,上海,5-7年经验,6,硕士,6,光大光子投资管理有限公司,国企,50-150人,金融/投资/证券,金融业,2-3万·20薪,20,30,千/月,投融资,金融,07-06发布,2023,,岗位职责：1.健全完善量化投资、自营业务相关管理制度，保障公司业务合规、高效开展；2.负责量化投资的整体管理与策略的设计开发；研究相关模型，从数量分析中发掘投资机会，主持量化策略开发、回测和交易平台的设计和完善；3.在授权范围内监督执行团队的日常投资、风险控制和绩效评估；保障合规开展期货做市、期权做市交易，自营投资业务以及公司规定的其他业务，达到公司规定的业务考核目标；4.按照公司规定统计相关数据并及时报告；5.公司领导交办的其他工作。任职要求：1.硕士研究生及以上学历，具有金融学、投资学、经济学、会计学、计算机、数学、工程或物理学等专业背景；2.具备多年金融投资或研究工作经验；3.精通计算机程序设计、熟练使用大型统计软件；4.具有大类资产配置、基金产品投资、金融衍生品投资工作经验者优先，过往业绩优秀；5.英语读写熟练、具有独立研究能力和团队协作精神。,"开展,产品,数量,交易平台,机会,物理学,评估,投资,负责,或,从,.,熟练,交易,管理制度,领导,主持,优秀,完善,岗位职责,内,设计,任职,金融,多年,及,研究,绩效,优先,授权,范围,期权,按照,执行,保障,使用,精神,金融学,交办,专业,协作,硕士,程序设计,计算机,公司,考核,3,精通,英语,数学,在,者,团队,以及,5,发掘,目标,背景,、,并,期货,管理,策略,分析,独立,数据,业务,经济学,类,做市,基金,会计学,以上学历,衍生品,1,软件,风险,；,配置,4,达到,相关,资产,能力,其他,具备,中,。,：,合规,工作,业绩,整体,研究生,和,等,日常,与,监督,高效,控制,及时,报告,开发,自营,健全,模型,具有,回测,工程,学,大,，,统计,读写,过往,要求,量化,2,规定,的,经验,大型"
经发管委-网络金融部-互联网渠道岗G00746,https://jobs.51job.com/beijing/140159036.html,北京,北京,北京,2年经验,2,本科,5,中信期货有限公司,国企,1000-5000人,金融/投资/证券,金融业,2-3万,20,30,千/月,客服及支持,销售/客服,01-16发布,2023,,岗位职责：1、牵头负责本区域内，公司与互联网平台、金融科技公司、金融同业机构的线上流量生态合作，扩大公司零售客户体量；2、负责合作渠道的市场尽调、评审过会，合同签订，结算付款等引入流程的开展；3、负责渠道合作的标准化流程落实，用以规范线上渠道的准入、测试、评估、调优及退出流程；4、探索金融行业线上获客新模式，如融媒体、私域流量经营等；5、以全局视野关注行业竞品信息，对市场保持敏感度，提交优化解决方案。岗位：1、***本科及以上学历，金融学、工商管理、广告学等相关专业；2、良好的组织沟通协调能力、执行能力、团队合作能力；认真负责、积极主动、踏实严谨；学习能力和抗压能力强；3、有营销创意能力，目标导向意识，复杂交叉作业和项目管理能力；具备一定金融知识，熟悉期货、基金等法律法规；熟练使用办公软件，互联网作业软件/平台；熟悉线上及移动端的策划和宣传。,"一定,工商管理,扩大,软件,评审,客户,竞品,开展,*,过会,体量,3,广告学,岗位,沟通,团队,信息,2,目标,保持,模式,关注,积极主动,解决方案,流量,互联网,机构,测试,公司,零售,能力,行业,复杂,准入,营销,对,5,同业,渠道,导向,提交,尽调,严谨,退出,知识,付款,组织,作业,如融,以,具备,熟练,项目管理,办公,经营,线上,1,岗位职责,标准化,相关,探索,抗压,创意,生态,专业,法律法规,规范,私域,合作,等,宣传,获客,媒体,及,，,落实,执行,线,/,敏感度,策划,；,本科,本,交叉,、,以上学历,新,流程,。,合同,内,签订,端的,区域,视野,市场,上,结算,科技,使用,与,金融学,良好,引入,熟悉,平台,金融,学习,调优及,和,优化,强,协调,有,4,负责,的,评估,认真负责,踏实,基金,移动,期货,牵头,意识,：,全局,用以"
量化研究岗/研究助理岗,https://jobs.51job.com/shanghai/147858441.html,北京,北京,北京,2年经验,2,硕士,6,招商证券股份有限公司,国企,10000人以上,金融/投资/证券,金融业,1.5-2.5万,15,25,千/月,证券,金融,06-08发布,2023,,岗位职责:1、根据安排参加研究项目小组，与项目小组成员共同完成研究任务；2、密切跟踪市场动态，收集整理量化研究领域相关资料及最新变化情况，建立较为全面详实的研究信息资料库；3、撰写量化研究报告，并能根据客户与领导需求完成相关课题研究；4、通过现场推介、电话沟通、研讨会等方式，向客户提供研究咨询服务等。任职要求:1、金融工程、金融数学、统计学、计算机、金融学等相关专业硕士研究生学历以上；2、在量化研究或投资领域拥有2-3年左右的相关经验或同等能力，具备实际投资经验者优先；3、擅长Python/R/MATLAB等软件使用，具有优秀的逻辑分析和写作能力，能快速、高质量完成深度报告者优先；4、抗压能力强、有良好的团队协作意识，对卖方研究有足够的热情；5、具有证券从业资格。,":,较为,擅长,跟踪,学历,需求,意识,快速,市场动态,投资,统计学,或,领导,向,优秀,/,岗位职责,证券,热情,资料库,任职,金融,电话,从业,及,卖方,研究,优先,拥有,以上,使用,资格,金融学,专业,协作,项目,硕士,计算机,收集整理,3,密切,完成,领域,安排,抗压,数学,在,者,共同完成,信息,高质量,团队,逻辑,详实,实际,5,研讨会,、,并,年,深度,通过,资料,咨询服务,分析,强,写作能力,任务,课题,1,软件,对,撰写,；,成员,建立,4,能,相关,客户,变化,提供,左右,能力,MATLAB,R,足够,沟通,现场,具备,。,同等,良好,研究生,等,和,与,报告,小组,全面,推介,参加,具有,工程,情况,根据,有,Python,，,要求,量化,-,2,最新,方式,的,经验"
运营经理-反电诈（网络金融）,https://jobs.51job.com/shanghai/149342543.html,上海-长宁区,上海,上海,2年经验,2,本科,5,交银企业管理服务（上海）有限公司张江高科技园区分公司,国企,10000人以上,银行,金融业,1.5-3万·15薪,15,30,千/月,合规,财务/税务/法务,06-19发布,2023,,职责描述:1.负责开放银行平台的业务风险管理，包括涉及对外输出业务交易进行客户风险识别、反电诈、反洗钱核查。2.协助风险管理部门搭建开放银行风险监测体系、设计风险预警管理模型，开展风险数据的运用与分析，负责日常预警信息监测与处置等。2.充分掌握监管要求、市场趋势及同业动态，结合行内业务发展情况持续完善风险管理策略。3.参与开放银行平台各类服务监控策略制定，对重大风险及时预警。岗位要求:1.本科及以上学历，金融、计算机、数学、统计学等专业优先。2.3年以上工作经验，2年以上银行营运或风险管理相关工作经验。熟悉银行产品，有零售业务风险管理经验者优先。3.熟练掌握 OFFICE 办公软件，能够熟练运用各类数据分析工具。4.具有较强的沟通协调及文字撰写能力，能够适应细致繁琐工作。5.具有较强的数据化运营意识，以及数据分析和客群研究能力。,":,开展,营运,产品,意识,负责,统计学,监测,或,.,熟练,体系,交易,零售,完善,动态,反洗钱,设计,充分,金融,及, ,服务,监控,客群,研究,优先,参与,2.3,描述,以上,发展,数据分析,专业,对外,工具,计算机,3,制定,识别,数学,者,信息,文字,以及,运用,岗位,5,平台,化,、,年,管理,职责,策略,分析,结合,数据,业务,部门,行内,以上学历,包括,开放,银行,1,对,市场趋势,软件,撰写,风险,处置,监管,各类,繁琐,4,重大,协助,相关,客户,能力,熟悉,沟通,。,较强,工作,熟练掌握,OFFICE,细致,等,和,日常,与,协调,运营,办公,输出,及时,同业,核查,模型,反电诈,能够,具有,进行,管理策略,涉及,情况,有,掌握,适应,预警,，,搭建,持续,要求,2,本科,的,风险管理,经验"
业务规划经理（网络金融）,https://jobs.51job.com/shanghai-cnq/144341597.html,上海-长宁区,上海,上海,3-4年经验,3.5,本科,5,交银企业管理服务（上海）有限公司张江高科技园区分公司,国企,10000人以上,银行,金融业,1.6-2.5万,16,25,千/月,咨询顾问,咨询/法律/科研,11-28发布,2022,,1、根据公司、部门发展战略，分析经济金融宏观政策、市场环境、银行业数字化发展趋势、同业网络金融业务经营策略等。2、根据需求撰写行业分析报告、专项调研报告、竞品分析报告等，提供业务经营发展专业建议。3、根据部门经营管理目标和具体业务发展思路等，定期研究评估、反馈业务问题点和短板，提出改进方案。岗位要求:1、本科及以上学历，经济、金融、法学、政治等相关专业优先；2、熟悉金融行业，对银行业数字化发展趋势有看法；3、具备行业分析、业务分析和产品分析的基础方法论，具备系统化思考能力、逻辑分析能力优先；4、具备良好的文字功底，熟练使用Word、PPT、Excel等办公软件；5、具备良好的团队合作精神，较强的责任心和承压能力。,"能力,政治,:,方法论,团队,逻辑,1,；,管理,的,精神,公司,反馈,思考,产品,良好,本科,网络,需求,部门,分析,具备,4,宏观政策,熟练,Word,报告,建议,定期,调研,办公,要求,竞品,基础,使用,看法,法学,功底,业务,市场,金融业务,岗位,专业,熟悉,银行业,短板,5,改进,软件,2,责任心,有,问题,金融,发展趋势,点,合作,数字化,经济,方案,3,战略,目标,以上学历,。,研究,撰写,发展,行业,经营策略,及,系统化,和,经营,Excel,PPT,文字,专项,相关,评估,根据,具体,等,同业,优先,对,提出,，,承压,环境,、,思路,较强,提供"
量化交易员,https://jobs.51job.com/shenzhen/135137540.html,深圳-南山区,深圳,深圳,1年经验,1,本科,5,深圳恒盈实业管理有限公司,民营,50-150人,金融/投资/证券,金融业,6千-1万,6,10,千/月,证券,金融,06-19发布,2023,,岗位职责：1、协助公司董事长部署及维护公司量化交易模型，每日对模型交易数据进行统计、汇总和汇报；2、完成基金经理下达的各项交易指令，确保交易执行合规、准确、及时，并及时汇报交易进度以及提出合理化交易策略；3、实时盯盘，研判行情走势，制定每日交易策略；提高交易效率，优化交易成本；把握市场股票交易机会，及时发出交易操作请示，确保账户达到稳定盈利；4、按要求完成股票市场相关数据分析与统计，跟踪市场动态，总结市场规律，及时反馈市场变化。5、检查交易结果，撰写交易报告，解释异常现象，修正和完善交易策略；6、遵守相关法律法规及公司制度，严格执行交易风控程序；7、完成上级交代的临时性工作。任职资格：1、本科及以上学历，具有基金从业资格，金融、经济、财务等相关专业优先；2、具有三年以上股票交易经验，具有良好的价格波动敏感性和执行力；3、具备较强的数据分析、总结能力，熟练使用办公软件及较强的撰写能力；4、有,"确保,责任心,跟踪,执行力,临时性,交代,机会,市场动态,修正,实时,股票交易,解释,熟练,交易,进度,把握,经济,完善,岗位职责,对模型,任职,金融,6,准确,从业,及,优先,每日,价格,组织性,稳定,发出,汇报,以上,高度,执行,波动,数据分析,使用,资格,专业,异常现象,按,账户,公司,3,完成,制定,下达,走势,以及,效率,5,操作,制度,盈利,严格,董事长,、,并,市场规律,结果,市场,策略,7,强,数据,经理,盯盘,财务,请示,法律法规,基金,以上学历,三年,汇总,1,软件,总结,各项,指令,交易成本,；,撰写,纪律性,4,达到,遵守,优化,协助,相关,部署,变化,检查,能力,风控,具备,。,良好,：,较强,合规,工作,和,等,与,提高,办公,维护,及时,报告,敏感性,模型,研判,具有,进行,合理化,有,严格执行,股票市场,行情,较,，,统计,提出,程序,反馈,要求,量化,2,"
量化研究岗/研究助理岗,https://jobs.51job.com/shenzhen/147858440.html,北京,北京,北京,2年经验,2,硕士,6,招商证券股份有限公司,国企,10000人以上,金融/投资/证券,金融业,1.5-2.5万,15,25,千/月,证券,金融,06-08发布,2023,,岗位职责:1、根据安排参加研究项目小组，与项目小组成员共同完成研究任务；2、密切跟踪市场动态，收集整理量化研究领域相关资料及最新变化情况，建立较为全面详实的研究信息资料库；3、撰写量化研究报告，并能根据客户与领导需求完成相关课题研究；4、通过现场推介、电话沟通、研讨会等方式，向客户提供研究咨询服务等。任职要求:1、金融工程、金融数学、统计学、计算机、金融学等相关专业硕士研究生学历以上；2、在量化研究或投资领域拥有2-3年左右的相关经验或同等能力，具备实际投资经验者优先；3、擅长Python/R/MATLAB等软件使用，具有优秀的逻辑分析和写作能力，能快速、高质量完成深度报告者优先；4、抗压能力强、有良好的团队协作意识，对卖方研究有足够的热情；5、具有证券从业资格。,":,较为,擅长,跟踪,学历,需求,意识,快速,市场动态,投资,统计学,或,领导,向,优秀,/,岗位职责,证券,热情,资料库,任职,金融,电话,从业,及,卖方,研究,优先,拥有,以上,使用,资格,金融学,专业,协作,项目,硕士,计算机,收集整理,3,密切,完成,领域,安排,抗压,数学,在,者,共同完成,信息,高质量,团队,逻辑,详实,实际,5,研讨会,、,并,年,深度,通过,资料,咨询服务,分析,强,写作能力,任务,课题,1,软件,对,撰写,；,成员,建立,4,能,相关,客户,变化,提供,左右,能力,MATLAB,R,足够,沟通,现场,具备,。,同等,良好,研究生,等,和,与,报告,小组,全面,推介,参加,具有,工程,情况,根据,有,Python,，,要求,量化,-,2,最新,方式,的,经验"
